Elements	BubbleSort	QuickSort
31371		0.933149	1.577641
31498		0.937342	1.580733
31625		0.941047	1.594873
31752		0.951230	1.606121
31879		0.963783	1.683215
32006		0.968445	1.632941
32133		0.974875	1.641656
32260		0.988277	1.652685
32387		0.993293	1.672018
32514		0.994516	1.686264
32641		1.002989	1.695901
32768		1.030770	1.718265
