Elements	BubbleSort	QuickSort
31244		2.299302	0.003932
31371		2.319450	0.003879
31498		2.342810	0.003795
31625		2.351485	0.003954
31752		2.372464	0.003984
31879		2.398371	0.003837
32006		2.413753	0.003900
32133		2.436756	0.003927
32260		2.468098	0.004050
32387		2.481651	0.003895
32514		2.517652	0.003964
32641		2.510514	0.004045
32768		2.546799	0.004129
