n           time
10000 0.0000486374
20000 0.0000572205
30000 0.0000636578
40000 0.0001885891
50000 0.0002455711
60000 0.0002131462
70000 0.0000295639
80000 0.0000040531
90000 0.0006015301
100000 0.0003173351
110000 0.0000188351
120000 0.0001151562
130000 0.0008971691
140000 0.0001549721
150000 0.0007717609
160000 0.0011837482
170000 0.0006859303
180000 0.0009870529
190000 0.0007462502
200000 0.0004541874
